78;793878feb6e0998567536ccbfb44f456;Electronic Home Entertainment Equipment Installers and Repairers
79;b917cb397d5b62f7c7d43f0d4313462f;Civil Drafters
80;b0d02989faae9585ee1df7eb036585db;Civil Engineering Technicians
81;98de71a2b00a1c9d904ea3465884889f;Manufacturing Production Technicians
82;48aa8cdb4db8481943f03037d256ccf1;Security Management Specialists
83;bb6a9df39a03af73f9fb564cbd30737e;Geodetic Surveyors
84;ccd718bdc374dc0535f70cacb39e899a;Industrial Ecologists
85;35face00c8f385676a715d112d4e7efb;Cost Estimators
86;66235e1535acdda1c1cb2a9a2fe49ebf;Geothermal Production Managers
87;ec77782d2ec3720b5e7ea87e59f2d90a;Aquacultural Managers
88;00a41a610b10853ae718fdcd99eb16b6;Government Property Inspectors and Investigators
89;a8d84e1293241b76325cd69ad3f233ac;Biomass Power Plant Managers
90;974d3fb78b871ead158cf91bfdd2e1b2;Computer Science Teachers, Postsecondary
91;64ecec08db128cd8d2a8fe1e364dad95;Avionics Technicians
92;77f4628625a6108861f497ee6ba2ee4b;Model Makers, Wood
93;bdbf30e95939c7ffd556f3a5a97fdcd7;Sound Engineering Technicians
94;708f0ac440281386dd479b4c2f02aff7;Construction and Building Inspectors
95;6b6e7eda0f21fd2d8e1edf2394523743;Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic
96;236cd8dd3f054f5d040bd0bba3603a91;Environmental Engineering Technicians
97;44476e5884bc0c4b31e0b7716411a771;Wind Turbine Service Technicians
98;3b094d3cad676024664ed40c5d95cb2e;Telecommunications Engineering Specialists
99;2f766c4eee4020dcf8258f22a36cf729;Food Scientists and Technologists
100;4a9270b7b3661523b86770b7088c8f1a;Surveying Technicians
101;18a53d758a1ae11622c56df6bb176315;Industrial Machinery Mechanics
102;518f912e2b4ec11f27adf57e9d3295d8;Occupational Health and Safety Specialists
103;1458f7aba7fa08b3920d2836d95ce518;Sales Engineers
104;b8fd253e0c813e96e3e902920aa642c9;Aviation Inspectors
105;f8ac13032d585199b3cfe4c3362f8b0b;Electronic Equipment Installers and Repairers, Motor Vehicles
106;9d1794e59aa96e732a9021bd1a80e9f5;Solar Sales Representatives and Assessors
107;6261988e885c4f30f6211bda9c319a99;First-Line Supervisors of Mechanics, Installers, and Repairers
108;3c67a4e8074903eee2ab502c88c05f95;Automotive Master Mechanics
109;3743e28a587c5e3b2c5b3793333db9a5;Software Quality Assurance Engineers and Testers
110;c1a1c973d3f966721f3ebb32f5d5e31f;Architects, Except Landscape and Naval
111;95de8dd04ff20b713367c9ae9c1dc221;Manufactured Building and Mobile Home Installers
112;23641a1cc235ca241bc2dbf84375cb4c;Patternmakers, Metal and Plastic
113;7f606b7268543c7523bbc9c6983b97b9;Brownfield Redevelopment Specialists and Site Managers
114;7a48c828ef9073a9ec6551b1dd8def48;Landscape Architects
115;8aaea3bf579df2a26196ea0d31040e4e;Non-Destructive Testing Specialists
116;338335a37b1adcf365597f0764e4b785;Nuclear Power Reactor Operators
117;7b42cfcc4049607c4585be52be2a7c8e;Prosthodontists
118;9f07202082ce5945f125f3472a753789;Computer Network Architects
119;b9e3d5d53d13926f1acb4f3227fe67cf;Electro-Mechanical Technicians
120;8c49f05753c0f56aa3a11f9e679d69f4;Medical Equipment Repairers
121;3955232f02ec07a53f7ddd62a24f6045;Mathematicians
122;fd84817f0d5646abba1fd338b78b284a;Industrial Production Managers
123;4897f783a208eaf2e0f14fc1f552b334;Remote Sensing Technicians
124;f9e3c7eb928c19cdcc7c234ac22f9181;Dental Laboratory Technicians
125;ebef83a14648484330a64a7a55d61fea;Refrigeration Mechanics and Installers
126;848fececfa689df79b67859c41d06d55;Bicycle Repairers
127;db88b84712bf44baaedff0d869c4f556;Remote Sensing Scientists and Technologists
128;8908a580adb429c507e29b07a6d9c5bc;Nuclear Equipment Operation Technicians
129;5d27912a4f587b4083b352c1e7b65dbb;Orthotists and Prosthetists
130;048ff2104dda3c986a5500358c86367a;Physics Teachers, Postsecondary
131;26df8ecd5f8006d224d49c78263875a9;Computer Network Support Specialists
132;6656e4d94296a703b681dbde920b0ae0;Electrical and Electronics Installers and Repairers, Transportation Equipment
133;5e734a77cd633a232f406e79f7807f6c;Aircraft Mechanics and Service Technicians
134;74174f25fc3baa0ed22f86a1a5151245;Geographic Information Systems Technicians
135;3f5f5371159c76797d345b39d038cf2e;Soil and Water Conservationists
